sample_rate_hz,frequency_hz,analog_magnitude_db,measured_magnitude_db,legacy_analog_magnitude_db,analog_phase_deg,measured_phase_deg,magnitude_error_db,phase_error_deg
44100,20,-0.0011777671796,-0.00117282257203,-3.20324004205e-06,0.878068941846,0.877953918269,4.94460756564e-06,-0.000115023576951
44100,22,-0.000974883851325,-0.000976528553634,-3.87592017008e-06,0.786062233662,0.78614650418,-1.64470230887e-06,8.42705181401e-05
44100,24,-0.000820842847953,-0.000816657800383,-4.61266496138e-06,0.708322340767,0.708259190397,4.18504757073e-06,-6.31503697123e-05
44100,26,-0.000701236551657,-0.00070134507203,-5.41347438598e-06,0.641557722748,0.641605858028,-1.08520373224e-07,4.8135279691e-05
44100,28,-0.000606610336186,-0.000602586226573,-6.27834840662e-06,0.583417023573,0.583379748767,4.02410961255e-06,-3.72748065428e-05
44100,31,-0.000498031027535,-0.000491302707069,-7.69578048483e-06,0.508725196057,0.508734077425,6.72832046535e-06,8.88136766733e-06
44100,34,-0.000417515397333,-0.000415206510254,-9.25735769746e-06,0.445522105087,0.445540466578,2.30888707743e-06,1.83614914076e-05
44100,37,-0.000356397948508,-0.000354415688236,-1.09630799034e-05,0.391013532897,0.391008003486,1.98226027251e-06,-5.52941103096e-06
44100,40,-0.000309134981968,-0.000303817706845,-1.28129469357e-05,0.343243414297,0.343233807814,5.31727512409e-06,-9.6064831143e-06
44100,44,-0.000261484037288,-0.000255370153456,-1.55036613091e-05,0.287649885375,0.287643589647,6.11388383229e-06,-6.29572792563e-06
44100,47,-0.000234176846031,-0.00022706494932,-1.76898655923e-05,0.250737260034,0.250739717212,7.11189671152e-06,2.45717801522e-06
44100,52,-0.000200100737932,-0.000192000808247,-2.16538597504e-05,0.196223706961,0.196221087669,8.09992968359e-06,-2.61929240716e-06
44100,56,-0.000180400622365,-0.000171133068386,-2.51133427985e-05,0.157568233955,0.157566635111,9.26755397952e-06,-1.5988442925e-06
