case,variant,peak,peak_dbfs,rms_dbfs,samples_at_or_above_full_scale,power_spectral_centroid_20_16000_hz,identical_stereo_channels,side_to_mid_db
moogie-1-octave-revision,unchanged,0.671356737613678,-3.4609329645010267,-9.682892623177482,0,50.619374689244935,True,
moogie-1-octave-revision,filter-bypass,0.6654679179191589,-3.5374575387681557,-7.438894178492113,0,72.77330525411145,True,
moogie-1-octave-revision,cutoff-plus-12,0.6819126009941101,-3.3254256839466096,-8.171085622134864,0,56.395668707889705,True,
moogie-1-octave-revision,cutoff-plus-24,0.6742734909057617,-3.4232782859172115,-7.674528794710388,0,59.946821055085714,True,
moogie-1-octave-revision,cutoff-plus-36,0.6709099411964417,-3.4667154585096993,-7.51838246123782,0,62.65413951554874,True,
moogie-1-octave-revision,slope-12,0.6615475416183472,-3.588778802149459,-9.356286581582845,0,52.9150955484244,True,
moogie-1-octave-revision,envelope-disabled,0.6414411664009094,-3.8568634273768687,-10.00077803313111,0,48.29230527321214,True,
moogie-1-octave-revision,envelope-held-at-peak,0.6660956740379333,-3.5292677372382952,-7.481126782963312,0,63.93122597131796,True,
dist-bs-1,unchanged,0.5504453778266907,-5.185715415240525,-11.774146290286204,0,48.80738274790132,True,
dist-bs-1,filter-bypass,0.5429867506027222,-5.304215349671643,-11.783551873221437,0,54.27176770154071,True,
dist-bs-1,cutoff-plus-12,0.5199097990989685,-5.681439940826223,-11.769907492294408,0,50.26224471856989,True,
dist-bs-1,cutoff-plus-24,0.5254730582237244,-5.588990919630828,-11.779110807135204,0,51.46923773803133,True,
dist-bs-1,cutoff-plus-36,0.530352771282196,-5.508703149259405,-11.781892359021747,0,52.500101519140564,True,
dist-bs-1,slope-12,0.5133665204048157,-5.791449151840531,-11.910851217540383,0,48.22223827721079,True,
dist-bs-1,envelope-disabled,0.5499730110168457,-5.193172444807831,-11.74303076022361,0,49.02470111803467,True,
dist-bs-1,envelope-held-at-peak,0.5280386805534363,-5.546685256307933,-11.801739675217348,0,51.54231441272016,True,
cotton-wool,unchanged,0.1532096564769745,-16.294277223768013,-29.356772359422614,0,51.16335143866813,False,-12.787201603318337
cotton-wool,filter-bypass,0.21558359265327454,-13.327685898582809,-28.941158358356734,0,182.81466729197277,False,-12.633433660024185
cotton-wool,cutoff-plus-12,0.17335790395736694,-15.22112705282943,-29.186988357450765,0,71.20465849327925,False,-12.707285178140356
cotton-wool,cutoff-plus-24,0.18407376110553741,-14.700162276548712,-29.080153271857977,0,93.07209438022677,False,-12.659821180335785
cotton-wool,cutoff-plus-36,0.196157306432724,-14.147910214179362,-29.016595568486846,0,116.37916333473049,False,-12.640903094713693
cotton-wool,slope-12,0.15351682901382446,-16.27688017608497,-29.36309657221883,0,52.70152347656162,False,-12.792116378754898
cotton-wool,envelope-disabled,0.06663063168525696,-23.52652138851061,-35.02281432780679,0,24.26158414011029,False,-13.372810292363058
cotton-wool,envelope-held-at-peak,0.18465879559516907,-14.672600027525464,-29.097315766485078,0,91.42343223584854,False,-12.664624984939936
