cutoff,note,slope,resonance,coefficient_hz,frequency_hz,measured_db,theory_db,error_db
30,36,12,0,102.83109812,65.40639133,-2.95070668,-2.95080153,0.00009485
30,36,12,31,102.83109812,65.40639133,1.23346861,1.23344858,0.00002003
30,36,24,0,102.83109812,65.40639133,-2.66880473,-2.66873050,-0.00007423
30,36,24,31,102.83109812,65.40639133,1.51546649,1.51551961,-0.00005312
30,60,12,0,102.83109812,261.62556530,-17.47153809,-17.47147349,-0.00006460
30,60,12,31,102.83109812,261.62556530,-15.60404432,-15.60400035,-0.00004397
30,60,24,0,102.83109812,261.62556530,-33.41406466,-33.41447328,0.00040862
30,60,24,31,102.83109812,261.62556530,-31.54667580,-31.54700014,0.00032434
30,84,12,0,102.83109812,1046.50226120,-40.41963460,-40.41970040,0.00006580
30,84,12,31,102.83109812,1046.50226120,-40.29423901,-40.29430427,0.00006526
30,84,24,0,102.83109812,1046.50226120,-80.73988390,-80.73318695,-0.00669696
30,84,24,31,102.83109812,1046.50226120,-80.61451464,-80.60779081,-0.00672383
47,36,12,0,260.06266646,65.40639133,-0.53257476,-0.53262542,0.00005065
47,36,12,31,260.06266646,65.40639133,0.26982137,0.26980020,0.00002118
47,36,24,0,260.06266646,65.40639133,-0.39395074,-0.39400252,0.00005178
47,36,24,31,260.06266646,65.40639133,0.40845742,0.40842309,0.00003433
47,60,12,0,260.06266646,261.62556530,-6.07283072,-6.07281125,-0.00001946
47,60,12,31,260.06266646,261.62556530,0.01602194,0.01603333,-0.00001139
47,60,24,0,260.06266646,261.62556530,-7.70893701,-7.70892481,-0.00001220
47,60,24,31,260.06266646,261.62556530,-1.62008794,-1.62008022,-0.00000772
47,84,12,0,260.06266646,1046.50226120,-24.73544833,-24.73545813,0.00000980
47,84,12,31,260.06266646,1046.50226120,-23.95390326,-23.95391289,0.00000963
47,84,24,0,260.06266646,1046.50226120,-48.81700111,-48.81687302,-0.00012810
47,84,24,31,260.06266646,1046.50226120,-48.03546628,-48.03532777,-0.00013851
57,36,12,0,448.85855164,65.40639133,-0.18234888,-0.18238049,0.00003161
57,36,12,31,448.85855164,65.40639133,0.09264100,0.09262646,0.00001455
57,36,24,0,448.85855164,65.40639133,-0.13240221,-0.13244350,0.00004130
57,36,24,31,448.85855164,65.40639133,0.14259145,0.14256344,0.00002800
57,60,12,0,448.85855164,261.62556530,-2.53940219,-2.53939200,-0.00001020
57,60,12,31,448.85855164,261.62556530,1.13281824,1.13282379,-0.00000555
57,60,24,0,448.85855164,261.62556530,-2.20152876,-2.20151411,-0.00001465
57,60,24,31,448.85855164,261.62556530,1.47069165,1.47070167,-0.00001002
57,84,12,0,448.85855164,1046.50226120,-16.19423280,-16.19423575,0.00000295
57,84,12,31,448.85855164,1046.50226120,-14.01215320,-14.01215604,0.00000284
57,84,24,0,448.85855164,1046.50226120,-30.61493854,-30.61493353,-0.00000501
57,84,24,31,448.85855164,1046.50226120,-28.43286265,-28.43285382,-0.00000883
64,36,12,0,657.70561357,65.40639133,-0.08533216,-0.08535448,0.00002232
64,36,12,31,657.70561357,65.40639133,0.04336375,0.04335307,0.00001067
64,36,24,0,657.70561357,65.40639133,-0.06166518,-0.06169662,0.00003144
64,36,24,31,657.70561357,65.40639133,0.06703245,0.06701093,0.00002151
64,60,12,0,657.70561357,261.62556530,-1.27446388,-1.27445730,-0.00000658
64,60,12,31,657.70561357,261.62556530,0.63256360,0.63256703,-0.00000343
