series,source,x,y
envelope,Roland hardware demo,0.025,0.03413604504074021
envelope,Roland hardware demo,0.035,0.04360654610075167
envelope,Roland hardware demo,0.045,0.0765591910472903
envelope,Roland hardware demo,0.055,0.09052878641472446
envelope,Roland hardware demo,0.065,0.09726523178217034
envelope,Roland hardware demo,0.075,0.10835711205562559
envelope,Roland hardware demo,0.085,0.11211369436200355
envelope,Roland hardware demo,0.095,0.10859358007927845
envelope,Roland hardware demo,0.105,0.10975750562381974
envelope,Roland hardware demo,0.115,0.10766423838366918
envelope,Roland hardware demo,0.125,0.1067554865574943
envelope,Roland hardware demo,0.135,0.11026368741220913
envelope,Roland hardware demo,0.145,0.1083214891503226
envelope,Roland hardware demo,0.155,0.1074357824490609
envelope,Roland hardware demo,0.165,0.10768649273240216
envelope,Roland hardware demo,0.175,0.10635854147806516
envelope,Roland hardware demo,0.185,0.10878735303937179
envelope,Roland hardware demo,0.195,0.10375987327262112
envelope,Roland hardware demo,0.205,0.10496419162840519
envelope,Roland hardware demo,0.215,0.10806504966258715
envelope,Roland hardware demo,0.225,0.1082679718991299
envelope,Roland hardware demo,0.235,0.10666663260734488
envelope,Roland hardware demo,0.245,0.1017380308950869
envelope,Roland hardware demo,0.255,0.10484526040841859
envelope,Roland hardware demo,0.265,0.10732736455432575
envelope,Roland hardware demo,0.275,0.10711838779192032
envelope,Roland hardware demo,0.285,0.10474069060797343
envelope,Roland hardware demo,0.295,0.10560450447526154
envelope,Roland hardware demo,0.305,0.10496413747325319
envelope,Roland hardware demo,0.315,0.10711768110878354
envelope,Roland hardware demo,0.325,0.10000803891808868
envelope,Roland hardware demo,0.335,0.10462022544463453
envelope,Roland hardware demo,0.345,0.10757336145897847
envelope,Roland hardware demo,0.355,0.10802180101739742
envelope,Roland hardware demo,0.365,0.10807103789777049
envelope,Roland hardware demo,0.375,0.10447805708801305
envelope,Roland hardware demo,0.385,0.10409989242819553
envelope,Roland hardware demo,0.395,0.10952850194845558
envelope,Roland hardware demo,0.405,0.10267682767149491
envelope,Roland hardware demo,0.415,0.10097247097015544
envelope,Roland hardware demo,0.425,0.1040097812456093
envelope,Roland hardware demo,0.435,0.10245656988317066
envelope,Roland hardware demo,0.445,0.10090246121528777
envelope,Roland hardware demo,0.455,0.10063825287848129
envelope,Roland hardware demo,0.465,0.09761441442955475
envelope,Roland hardware demo,0.475,0.10800858438499099
envelope,Roland hardware demo,0.485,0.10828198008736202
envelope,Roland hardware demo,0.495,0.10757092336233971
envelope,Roland hardware demo,0.505,0.10298295882084935
envelope,Roland hardware demo,0.515,0.10925937949893644
envelope,Roland hardware demo,0.525,0.10405659365690996
envelope,Roland hardware demo,0.535,0.10239147906416807
envelope,Roland hardware demo,0.545,0.10306758539230172
envelope,Roland hardware demo,0.555,0.10423776571814027
envelope,Roland hardware demo,0.565,0.10436234045524236
envelope,Roland hardware demo,0.575,0.10470945644430953
envelope,Roland hardware demo,0.585,0.09732751341634534
envelope,Roland hardware demo,0.595,0.10119539204463356
envelope,Roland hardware demo,0.605,0.10482569243676708
envelope,Roland hardware demo,0.615,0.10355672352999058
envelope,Roland hardware demo,0.625,0.10274940125612599
envelope,Roland hardware demo,0.635,0.10224704845262877
envelope,Roland hardware demo,0.645,0.10030959352547246
envelope,Roland hardware demo,0.655,0.1034126901357472
envelope,Roland hardware demo,0.665,0.10160894542152095
envelope,Roland hardware demo,0.675,0.10000087103521328
envelope,Roland hardware demo,0.685,0.10170884406742642
envelope,Roland hardware demo,0.695,0.10203126738417827
envelope,Roland hardware demo,0.705,0.10196951930319195
envelope,Roland hardware demo,0.715,0.09469705870542473
