type,slope,resonance,input_amplitude,rms,early_rms,output_peak,fundamental_amplitude,finite,stage1_limit_hits,stage2_limit_hits,stage1_max_prelimit,stage2_max_prelimit
LPF,12,0,0.001,1.67784577067e-06,1.67795525782e-06,0.000919993501157,2.37224073081e-06,1,0,0,0.000590668706776,0.000514547688853
LPF,12,1,0.001,1.84477816119e-06,1.84486433085e-06,0.000920046295505,2.60832188203e-06,1,0,0,0.000626035197502,0.000543344731404
LPF,12,2,0.001,1.92407499896e-06,1.9241510755e-06,0.000920069462154,2.72046422354e-06,1,0,0,0.000641979813666,0.000556275626477
LPF,12,3,0.001,1.98970324e-06,1.9897713668e-06,0.000920087797567,2.81327556849e-06,1,0,0,0.000654784957782,0.000566638845994
LPF,12,4,0.001,2.04861258297e-06,2.0486738547e-06,0.000920103630051,2.89658454735e-06,1,0,0,0.000665989416623,0.000575691660299
LPF,12,5,0.001,2.103481423e-06,2.10353652985e-06,0.000920117890928,2.97417909054e-06,1,0,0,0.000676187318703,0.00058391963478
LPF,12,6,0.001,2.15567987092e-06,2.15572929241e-06,0.000920131045859,3.0479968831e-06,1,0,0,0.000685682490164,0.00059157114564
LPF,12,7,0.001,2.20602186012e-06,2.20606595258e-06,0.000920143327676,3.11918903383e-06,1,0,0,0.000694654939504,0.000598793390196
LPF,12,8,0.001,2.25503929699e-06,2.25507833758e-06,0.000920154969208,3.18850779328e-06,1,0,0,0.000703221667514,0.000605682071196
LPF,12,9,0.001,2.30310398611e-06,2.30313819388e-06,0.000920166086871,3.256478987e-06,1,0,0,0.00071146376418,0.000612303538482
LPF,12,10,0.001,2.35048935709e-06,2.35051891185e-06,0.000920176738873,3.32348931292e-06,1,0,0,0.000719440154317,0.000618706022117
LPF,12,11,0.001,2.39740477029e-06,2.39742982096e-06,0.000920187041629,3.38983485846e-06,1,0,0,0.000730536372416,0.000630767902705
LPF,12,12,0.001,2.44401592699e-06,2.44403659876e-06,0.000920196995139,3.45574996569e-06,1,0,0,0.000744620191253,0.000642750807184
LPF,12,13,0.001,2.49045771901e-06,2.4904741161e-06,0.000920206657611,3.52142540398e-06,1,0,0,0.000758532448472,0.000654572678836
LPF,12,14,0.001,2.53684267748e-06,2.53685488779e-06,0.000920216087252,3.58702031877e-06,1,0,0,0.000772307863152,0.000666263658816
LPF,12,15,0.001,2.58326672817e-06,2.58327482776e-06,0.000920225284062,3.65267037103e-06,1,0,0,0.000785975213632,0.000677848701325
LPF,12,16,0.001,2.629813242e-06,2.62981729459e-06,0.00092023430625,3.71849346575e-06,1,0,0,0.000799558725521,0.000689348784237
LPF,12,17,0.001,2.67655596615e-06,2.67655602712e-06,0.000920243095607,3.78459389728e-06,1,0,0,0.00081307907194,0.000700781781639
LPF,12,18,0.001,2.72356118306e-06,2.72355730023e-06,0.000920251768548,3.8510654027e-06,1,0,0,0.000826554110514,0.000712163106855
LPF,12,19,0.001,2.77088935708e-06,2.77088156858e-06,0.000920260325074,3.91799349062e-06,1,0,0,0.000839999437059,0.000723506195593
LPF,12,20,0.001,2.81859637696e-06,2.81858471468e-06,0.000920268706977,3.98545719836e-06,1,0,0,0.000853428808686,0.000734822875224
LPF,12,21,0.001,2.86673455753e-06,2.86671904992e-06,0.000920276972465,4.0535305086e-06,1,0,0,0.00086685447208,0.000746123651338
LPF,12,22,0.001,2.91535342325e-06,2.91533409083e-06,0.000920285121538,4.12228345752e-06,1,0,0,0.000880287421647,0.000757417933131
LPF,12,23,0.001,2.96450032877e-06,2.96447718899e-06,0.000920293154195,4.19178301235e-06,1,0,0,0.000893737605024,0.000768714212862
LPF,12,24,0.001,3.01422100906e-06,3.01419407383e-06,0.000920301128644,4.26209384952e-06,1,0,0,0.000907214088483,0.000780020210328
LPF,12,25,0.001,3.06455998641e-06,3.06452926168e-06,0.000920308986679,4.33327893016e-06,1,0,0,0.000920725191404,0.000791342990342
LPF,12,26,0.001,3.1155609659e-06,3.11552645864e-06,0.000920316728298,4.40540005936e-06,1,0,0,0.000934786000157,0.000802689059148
LPF,12,27,0.001,3.16726713549e-06,3.16722884488e-06,0.000920324469917,4.4785183107e-06,1,0,0,0.000950273620302,0.000814064444224
LPF,12,28,0.001,3.21972145022e-06,3.21967937288e-06,0.00092033209512,4.55269442804e-06,1,0,0,0.00096597771216,0.000825474760848
LPF,12,29,0.001,3.27296688861e-06,3.27292101774e-06,0.000920339662116,4.62798918819e-06,1,0,0,0.00098190926412,0.000836925268033
LPF,12,30,0.001,3.32704665322e-06,3.32699697991e-06,0.000920347112697,4.70446368448e-06,1,0,0,0.000998079157812,0.000848420915849
LPF,12,31,0.001,3.38200439958e-06,3.38195091045e-06,0.000920354563277,4.78217965064e-06,1,0,0,0.00101449821459,0.000859966385702
LPF,12,32,0.001,3.43788440324e-06,3.43782708208e-06,0.00092036195565,4.86119969687e-06,1,0,0,0.00103117723658,0.000871634796526
LPF,12,33,0.001,3.49473175346e-06,3.49467058107e-06,0.000920369289815,4.94158758387e-06,1,0,0,0.00104812704332,0.000883408652869
LPF,12,34,0.001,3.55259252233e-06,3.55252747773e-06,0.000920376565773,5.02340846198e-06,1,0,0,0.00106535850471,0.000895246763674
LPF,12,35,0.001,3.6115139298e-06,3.61144498779e-06,0.000920383783523,5.1067291045e-06,1,0,0,0.00108288257101,0.000907153043092
LPF,12,36,0.001,3.67154450095e-06,3.67147163018e-06,0.000920390943065,5.19161813021e-06,1,0,0,0.00110071030041,0.000921967420149
LPF,12,37,0.001,3.73273424232e-06,3.73265741782e-06,0.000920398102608,5.27814625256e-06,1,0,0,0.00111885288455,0.000937235441648
LPF,12,38,0.001,3.79513480201e-06,3.79505398602e-06,0.000920405203942,5.36638650621e-06,1,0,0,0.00113732167234,0.000952775638571
LPF,12,39,0.001,3.85879962222e-06,3.85871477828e-06,0.000920412305277,5.45641446268e-06,1,0,0,0.00115612819255,0.000968597331832
LPF,12,40,0.001,3.92378413764e-06,3.92369522637e-06,0.000920419290196,5.54830851089e-06,1,0,0,0.0011752841752,0.000984709993689
LPF,12,41,0.001,3.99014593141e-06,3.99005291236e-06,0.000920426333323,5.64215007768e-06,1,0,0,0.00119480157213,0.00100112326425
LPF,12,42,0.001,4.05794493071e-06,4.05784775289e-06,0.000920433260035,5.73802390452e-06,1,0,0,0.00121486200371,0.00101784696738
LPF,12,43,0.001,4.12724358594e-06,4.1271422039e-06,0.000920440186746,5.8360183007e-06,1,0,0,0.00123553315752,0.00103489112618
LPF,12,44,0.001,4.1981070939e-06,4.19800145528e-06,0.000920447113458,5.93622545903e-06,1,0,0,0.00125666597793,0.00105226597811
LPF,12,45,0.001,4.2706035959e-06,4.27049363916e-06,0.000920453981962,6.03874173602e-06,1,0,0,0.00127827943553,0.00106998198988
LPF,12,46,0.001,4.34480441636e-06,4.34469008799e-06,0.000920460850466,6.14366798914e-06,1,0,0,0.00130039323084,0.00108810577179
LPF,12,47,0.001,4.42078430112e-06,4.42066553533e-06,0.000920467660762,6.25110991395e-06,1,0,0,0.00132302783865,0.00110660783209
LPF,12,48,0.001,4.4986216643e-06,4.4984983982e-06,0.000920474471059,6.36117839312e-06,1,0,0,0.00134620455391,0.00112548841374
LPF,12,49,0.001,4.57839889805e-06,4.57827105497e-06,0.000920481281355,6.47398993441e-06,1,0,0,0.00136994553948,0.00114475921616
LPF,12,50,0.001,4.66020263931e-06,4.66007014775e-06,0.000920488033444,6.58966704793e-06,1,0,0,0.00139427387578,0.00116443224603
LPF,12,51,0.001,4.74412410826e-06,4.74398688897e-06,0.000920494785532,6.70833872469e-06,1,0,0,0.00141921361263,0.00118451983233
LPF,12,52,0.001,4.83025944781e-06,4.83011741486e-06,0.000920501479413,6.83014091671e-06,1,0,0,0.00144484687233,0.00120576226894
LPF,12,53,0.001,4.91871011012e-06,4.91856317676e-06,0.000920508173294,6.95521708353e-06,1,0,0,0.00147121915809,0.00122769514309
LPF,12,54,0.001,5.00958325411e-06,5.00943132748e-06,0.000920514867175,7.08371875434e-06,1,0,0,0.00149831022233,0.00125020518607
LPF,12,55,0.001,5.10299218292e-06,5.10283516482e-06,0.000920521561056,7.21580614661e-06,1,0,0,0.00152615277924,0.001273316018
LPF,12,56,0.001,5.19905684374e-06,5.19889462997e-06,0.00092052819673,7.35164887278e-06,1,0,0,0.00155478129571,0.00129705228913
LPF,12,57,0.001,5.29790433392e-06,5.29773681529e-06,0.000920534832403,7.49142665601e-06,1,0,0,0.00158423210808,0.00132143973466
LPF,12,58,0.001,5.39966948369e-06,5.39949654518e-06,0.000920541468076,7.63533015419e-06,1,0,0,0.00161454354691,0.00134650523251
LPF,12,59,0.001,5.50449547097e-06,5.50431698842e-06,0.00092054810375,7.78356182927e-06,1,0,0,0.0016457578509,0.00137237395315
LPF,12,60,0.001,5.61253452102e-06,5.61235037135e-06,0.000920554681215,7.93633693657e-06,1,0,0,0.00167797074957,0.00139919660195
LPF,12,61,0.001,5.72394863985e-06,5.72375868549e-06,0.000920561316889,8.09388456199e-06,1,0,0,0.0017111875319,0.0014268452422
LPF,12,62,0.001,5.83891046e-06,5.83871455487e-06,0.000920567894354,8.25644881789e-06,1,0,0,0.00174545881959,0.00145535967396
LPF,12,63,0.001,5.95760412258e-06,5.95740211667e-06,0.000920574413612,8.42429009034e-06,1,0,0,0.00178083845293,0.001484781981
LPF,12,64,0.001,6.08022630883e-06,6.08001804077e-06,0.000920580991078,8.59768649787e-06,1,0,0,0.00181738374163,0.00151515668376
LPF,12,65,0.001,6.20698732557e-06,6.20677262624e-06,0.000920587568544,8.77693542628e-06,1,0,0,0.00185515573714,0.00154653090325
LPF,12,66,0.001,6.3381123313e-06,6.33789102648e-06,0.000920594087802,8.96235526251e-06,1,0,0,0.00189425155025,0.00157906676439
LPF,12,67,0.001,6.47384270733e-06,6.47361460143e-06,0.00092060060706,9.1542873334e-06,1,0,0,0.00193472012607,0.00161276274569
LPF,12,68,0.001,6.61443754526e-06,6.61420244322e-06,0.000920607126318,9.35309800908e-06,1,0,0,0.00197663618271,0.00164765604707
LPF,12,69,0.001,6.76017533662e-06,6.75993301839e-06,0.000920613645576,9.55918109234e-06,1,0,0,0.00202008170169,0.00168381274686
LPF,12,70,0.001,6.91135583659e-06,6.91110608016e-06,0.000920620164834,9.77296045382e-06,1,0,0,0.00206514470171,0.00172130349686
LPF,12,71,0.001,7.06830216133e-06,7.06804472803e-06,0.000920626684092,9.99489299797e-06,1,0,0,0.00211194017555,0.00176020389478
LPF,12,72,0.001,7.23136310439e-06,7.23109774191e-06,0.000920633145142,1.02254719384e-05,1,0,0,0.00216056034203,0.00180066707269
LPF,12,73,0.001,7.4009157925e-06,7.40064222405e-06,0.0009206396644,1.04652305534e-05,1,0,0,0.00221111333411,0.0018427576635
LPF,12,74,0.001,7.57736860786e-06,7.57708655185e-06,0.000920646125451,1.07147463183e-05,1,0,0,0.0022637197953,0.0018865501934
LPF,12,75,0.001,7.76116453238e-06,7.76087367526e-06,0.000920652644709,1.09746456343e-05,1,0,0,0.0023185205221,0.00193215100404
LPF,12,76,0.001,7.95278491013e-06,7.95248491835e-06,0.000920659105759,1.12456091487e-05,1,0,0,0.00237566000332,0.00197967498603
LPF,12,77,0.001,8.15275368452e-06,8.15244421523e-06,0.000920665566809,1.15283777467e-05,1,0,0,0.00243528618469,0.00202926701749
LPF,12,78,0.001,8.36164226156e-06,8.36132293982e-06,0.000920672086067,1.18237594283e-05,1,0,0,0.0024975682734,0.00208112076433
LPF,12,79,0.001,8.58007502541e-06,8.57974544252e-06,0.000920678547118,1.21326371074e-05,1,0,0,0.00256270637434,0.00213533106721
LPF,12,80,0.001,8.80873560912e-06,8.8083953437e-06,0.000920685008168,1.24559774792e-05,1,0,0,0.00263089331487,0.00219206301881
LPF,12,81,0.001,9.04837415373e-06,9.04802273048e-06,0.000920691469219,1.27948412848e-05,1,0,0,0.00270235057887,0.00225149681194
LPF,12,82,0.001,9.29981557684e-06,9.29945250521e-06,0.000920697930269,1.31503950035e-05,1,0,0,0.0027773347052,0.00231387287709
LPF,12,83,0.001,9.5639691828e-06,9.56359391583e-06,0.000920704391319,1.35239244422e-05,1,0,0,0.00285610969295,0.00237944802223
LPF,12,84,0.001,9.84183969679e-06,9.8414516597e-06,0.00092071085237,1.39168503381e-05,1,0,0,0.00293897348513,0.00244851180713
LPF,12,85,0.001,1.01345401962e-05,1.01341387525e-05,0.00092071731342,1.43307466442e-05,1,0,0,0.0030262671035,0.0025212636562
