type,slope,resonance,input_amplitude,rms,early_rms,output_peak,fundamental_amplitude,finite,stage1_limit_hits,stage2_limit_hits,stage1_max_prelimit,stage2_max_prelimit
LPF,12,0,0.001,1.67784577067e-06,1.67795525782e-06,0.000919993501157,2.37224073081e-06,1,0,0,0.000590668706776,0.000514547688853
LPF,12,1,0.001,2.167577451e-06,2.16762559997e-06,0.000920133956242,3.06482211291e-06,1,0,0,0.000687819190549,0.000593291747874
LPF,12,2,0.001,2.42844499483e-06,2.42846712001e-06,0.000920193677302,3.4337303706e-06,1,0,0,0.000739928815914,0.000638760965865
LPF,12,3,0.001,2.65864594232e-06,2.6586475256e-06,0.00092023977777,3.75926675557e-06,1,0,0,0.000807912825816,0.000696414723618
LPF,12,4,0.001,2.8765811403e-06,2.87656485348e-06,0.00092027860228,4.06745477472e-06,1,0,0,0.000869585256049,0.000748420683203
LPF,12,5,0.001,3.08938719025e-06,3.08935461677e-06,0.000920312770177,4.36838740471e-06,1,0,0,0.000927339923153,0.000796881943777
LPF,12,6,0.001,3.30079163865e-06,3.30074380509e-06,0.000920343503822,4.66733633329e-06,1,0,0,0.000990230411721,0.000842856719844
LPF,12,7,0.001,3.51309299179e-06,3.51303058578e-06,0.000920371618122,4.96755220893e-06,1,0,0,0.00105359751917,0.000887181113594
LPF,12,8,0.001,3.72787820571e-06,3.72780169166e-06,0.000920397578739,5.27127935722e-06,1,0,0,0.00111741421738,0.000936024801067
LPF,12,9,0.001,3.9463402949e-06,3.94624998225e-06,0.000920421734918,5.58020496212e-06,1,0,0,0.00118192325178,0.000990293559966
LPF,12,10,0.001,4.16943869532e-06,4.16933477313e-06,0.000920444377698,5.8956858613e-06,1,0,0,0.00124811720988,0.0010452435996
LPF,12,11,0.001,4.39798828914e-06,4.39787085202e-06,0.000920465681702,6.21887445038e-06,1,0,0,0.00131623792246,0.00110106406787
LPF,12,12,0.001,4.6327126016e-06,4.63258166884e-06,0.000920485763345,6.5507939171e-06,1,0,0,0.00138610025557,0.00115783118432
LPF,12,13,0.001,4.87427757462e-06,4.87413309926e-06,0.000920504855458,6.89238600617e-06,1,0,0,0.00145797161381,0.00121668000889
LPF,12,14,0.001,5.12331409424e-06,5.12315597507e-06,0.00092052295804,7.24454287879e-06,1,0,0,0.0015322094826,0.00127834005434
LPF,12,15,0.001,5.38043381949e-06,5.3802619035e-06,0.000920540245716,7.60812949855e-06,1,0,0,0.00160881480859,0.00134177074825
LPF,12,16,0.001,5.64624069863e-06,5.64605478526e-06,0.000920556718484,7.98399991843e-06,1,0,0,0.00168802012661,0.00140756251891
LPF,12,17,0.001,5.9213398079e-06,5.92113966026e-06,0.000920572434552,8.37300978063e-06,1,0,0,0.00177002945865,0.00147579467425
LPF,12,18,0.001,6.2063443588e-06,6.20612969173e-06,0.000920587510336,8.77602622656e-06,1,0,0,0.00185496416778,0.00154637183647
LPF,12,19,0.001,6.50188152296e-06,6.50165202088e-06,0.000920601945836,9.19393613441e-06,1,0,0,0.00194307969488,0.00161972240553
LPF,12,20,0.001,6.80859742199e-06,6.80835271955e-06,0.000920615799259,9.62765317564e-06,1,0,0,0.00203451567832,0.00169582269526
LPF,12,21,0.001,7.12716164536e-06,7.12690134506e-06,0.000920629070606,1.00781242041e-05,1,0,0,0.00212949068104,0.00177479522002
LPF,12,22,0.001,7.45827142121e-06,7.45799509263e-06,0.000920641818084,1.05463351542e-05,1,0,0,0.00222821342885,0.00185699366079
LPF,12,23,0.001,7.80265555228e-06,7.80236270981e-06,0.000920654041693,1.10333166068e-05,1,0,0,0.00233089295722,0.00194244290686
LPF,12,24,0.001,8.16107834802e-06,8.16076848957e-06,0.000920665857848,1.15401493499e-05,1,0,0,0.00243776834071,0.00203133370081
LPF,12,25,0.001,8.53434351369e-06,8.53401607585e-06,0.000920677208342,1.20679698779e-05,1,0,0,0.00254906886214,0.00212398268557
LPF,12,26,0.001,8.92329813532e-06,8.92295253004e-06,0.000920688151382,1.26179760271e-05,1,0,0,0.00266505492829,0.00222047919519
LPF,12,27,0.001,9.32883679274e-06,9.3284723759e-06,0.000920698628761,1.31914327915e-05,1,0,0,0.0027859894438,0.00232107618688
LPF,12,28,0.001,9.75190585816e-06,9.75152195285e-06,0.000920708815102,1.37896784017e-05,1,0,0,0.00291215362516,0.0024261590545
LPF,12,29,0.001,1.01935080546e-05,1.01931039219e-05,0.000920718535781,1.44141307709e-05,1,0,0,0.0030438531023,0.00253592036985
LPF,12,30,0.001,1.06547072608e-05,1.06542821242e-05,0.000920727965422,1.5066294289e-05,1,0,0,0.00318139680246,0.00265055485262
LPF,12,31,0.001,1.1136633707e-05,1.11361867349e-05,0.000920737045817,1.57477671703e-05,1,0,0,0.00332512754114,0.00277034309163
LPF,12,32,0.001,1.16404894924e-05,1.16400198007e-05,0.000920745835174,1.64602492547e-05,1,0,0,0.00347540258466,0.00289558507424
LPF,12,33,0.001,1.21675545592e-05,1.21670612051e-05,0.000920754275285,1.72055504569e-05,1,0,0,0.003632600511,0.00302659680886
LPF,12,34,0.001,1.27191932151e-05,1.27186751913e-05,0.000920762424357,1.7985599988e-05,1,0,0,0.00379713263727,0.0031637193857
LPF,12,35,0.001,1.32968610633e-05,1.32963173034e-05,0.000920770282391,1.88024561558e-05,1,0,0,0.0039694305794,0.00330731234799
LPF,12,36,0.001,1.39021126613e-05,1.39015420264e-05,0.000920777907595,1.96583171948e-05,1,0,0,0.00414995525336,0.00345776467006
LPF,12,37,0.001,1.45366098613e-05,1.45360111395e-05,0.00092078524176,2.05555330594e-05,1,0,0,0.00433920783825,0.00361548678807
LPF,12,38,0.001,1.52021307771e-05,1.52015026799e-05,0.000920792284887,2.14966181049e-05,1,0,0,0.00453771353298,0.0037809225151
LPF,12,39,0.001,1.59005797489e-05,1.58999209093e-05,0.000920799095184,2.24842651766e-05,1,0,0,0.00474603810461,0.00395454465169
LPF,12,40,0.001,1.66339981493e-05,1.66333070991e-05,0.000920805730857,2.35213608915e-05,1,0,0,0.00496479854698,0.00413685955204
LPF,12,41,0.001,1.74045762431e-05,1.74038514301e-05,0.000920812075492,2.46110024082e-05,1,0,0,0.0051946380108,0.00432841352617
LPF,12,42,0.001,1.8214666223e-05,1.82139059893e-05,0.000920818187296,2.57565158599e-05,1,0,0,0.00543625883135,0.00452979056906
LPF,12,43,0.001,1.90667965441e-05,1.90659991252e-05,0.000920824124478,2.69614766245e-05,1,0,0,0.00569042098183,0.00474161819853
LPF,12,44,0.001,1.99636876536e-05,1.99628511546e-05,0.000920829828829,2.82297315673e-05,1,0,0,0.00595792532185,0.00496457269442
