type,slope,resonance,input_amplitude,rms,early_rms,output_peak,fundamental_amplitude,finite,stage1_limit_hits,stage2_limit_hits,stage1_max_prelimit,stage2_max_prelimit
LPF,12,0,0.001,1.67784577067e-06,1.67795525782e-06,0.000919993501157,2.37224073081e-06,1,0,0,0.000590668706776,0.000514547688853
LPF,12,1,0.001,1.95281131956e-06,1.95288387303e-06,0.000920077553019,2.76110315604e-06,1,0,0,0.000647629397138,0.000560850147402
LPF,12,2,0.001,2.08884232326e-06,2.08889905495e-06,0.00092011410743,2.95347677038e-06,1,0,0,0.000673488531236,0.000581743216505
LPF,12,3,0.001,2.20400482076e-06,2.20404912362e-06,0.000920142862014,3.11633660157e-06,1,0,0,0.000694298870495,0.000598506922218
LPF,12,4,0.001,2.30933928738e-06,2.30937287544e-06,0.000920167483855,3.26529668947e-06,1,0,0,0.000712521734326,0.000613153056659
LPF,12,5,0.001,2.40909891007e-06,2.40912285421e-06,0.000920189544559,3.406372127e-06,1,0,0,0.000734081200426,0.000633785393562
LPF,12,6,0.001,2.50546466729e-06,2.50547969945e-06,0.000920209742617,3.54264737509e-06,1,0,0,0.000763002309823,0.000658367766998
LPF,12,7,0.001,2.59973960821e-06,2.59974626688e-06,0.000920228485484,3.67596527689e-06,1,0,0,0.000790796145562,0.000681931780367
LPF,12,8,0.001,2.69278335841e-06,2.6927820495e-06,0.000920246122405,3.80754155963e-06,1,0,0,0.000817744711972,0.000704723989509
LPF,12,9,0.001,2.78520502126e-06,2.78519606372e-06,0.000920262828004,3.93823764672e-06,1,0,0,0.00084404225074,0.00072691435326
LPF,12,10,0.001,2.87746072924e-06,2.87744437348e-06,0.000920278776903,4.06869862028e-06,1,0,0,0.000869828941301,0.000768116407098
LPF,12,11,0.001,2.96990775722e-06,2.96988420166e-06,0.00092029402731,4.1994297514e-06,1,0,0,0.000895209610621,0.000812088987062
LPF,12,12,0.001,3.06283673808e-06,3.06280614438e-06,0.00092030869564,4.33084206122e-06,1,0,0,0.000920264867639,0.000856326125352
LPF,12,13,0.001,3.15649191537e-06,3.15645440952e-06,0.000920322840102,4.46328096362e-06,1,0,0,0.000947046671006,0.000901224801023
LPF,12,14,0.001,3.25108448894e-06,3.25104017036e-06,0.00092033657711,4.59704513926e-06,1,0,0,0.000975363083005,0.00094969001396
LPF,12,15,0.001,3.3468017212e-06,3.34675066996e-06,0.000920349848457,4.73239941423e-06,1,0,0,0.0010039827772,0.00100635042633
LPF,12,16,0.001,3.44381336725e-06,3.44375564302e-06,0.00092036271235,4.86958385398e-06,1,0,0,0.00103294591492,0.00106525265483
LPF,12,17,0.001,3.54227636511e-06,3.54221200527e-06,0.000920375285204,5.00882039642e-06,1,0,0,0.00106228786096,0.00112649771988
LPF,12,18,0.001,3.6423383195e-06,3.64226735597e-06,0.000920387508813,5.15031777895e-06,1,0,0,0.00109204015868,0.00119031689876
LPF,12,19,0.001,3.74414017987e-06,3.74406262111e-06,0.000920399441384,5.29427532579e-06,1,0,0,0.00112223125608,0.00125676811939
LPF,12,20,0.001,3.84781831662e-06,3.84773416463e-06,0.000920411082916,5.44088588439e-06,1,0,0,0.00115288705472,0.00132588767675
LPF,12,21,0.001,3.95350621048e-06,3.95341545316e-06,0.000920422491618,5.59033821448e-06,1,0,0,0.0011840313299,0.00139777247744
LPF,12,22,0.001,4.06133582339e-06,4.0612384392e-06,0.000920433609281,5.74281892694e-06,1,0,0,0.001215873578,0.00147251878246
LPF,12,23,0.001,4.17143873745e-06,4.17133469441e-06,0.000920444552321,5.89851409445e-06,1,0,0,0.00124871364337,0.00155307777634
LPF,12,24,0.001,4.28394715352e-06,4.28383641115e-06,0.000920455262531,6.05761066375e-06,1,0,0,0.00128225677926,0.00163763012807
LPF,12,25,0.001,4.39899473437e-06,4.39887723888e-06,0.00092046573991,6.22029764807e-06,1,0,0,0.00131653771841,0.00172627555374
LPF,12,26,0.001,4.51671740894e-06,4.51659309982e-06,0.000920476042666,6.38676726444e-06,1,0,0,0.00135159092585,0.00181922816258
LPF,12,27,0.001,4.63725405559e-06,4.63712286363e-06,0.000920486170799,6.55721589995e-06,1,0,0,0.00138745070211,0.00191670933922
LPF,12,28,0.001,4.76074716851e-06,4.76060901836e-06,0.000920496066101,6.73184505422e-06,1,0,0,0.00142415126344,0.0020192507019
LPF,12,29,0.001,4.88734349987e-06,4.88719830082e-06,0.000920505844988,6.91086224743e-06,1,0,0,0.00146186729753,0.00212779393079
LPF,12,30,0.001,5.0171946617e-06,5.01704231894e-06,0.000920515449252,7.09448187147e-06,1,0,0,0.0015005791486,0.00224201941915
LPF,12,31,0.001,5.15045773893e-06,5.15029815091e-06,0.000920524878893,7.28292605688e-06,1,0,0,0.00154029890659,0.00236226600983
LPF,12,32,0.001,5.2872958925e-06,5.28712894154e-06,0.000920534133911,7.47642552574e-06,1,0,0,0.00158107178469,0.00248889098896
LPF,12,33,0.001,5.42787897408e-06,5.4277045404e-06,0.000920543272514,7.67522046088e-06,1,0,0,0.00162294420123,0.00262247648055
LPF,12,34,0.001,5.57238414838e-06,5.57220210008e-06,0.000920552294701,7.87956138595e-06,1,0,0,0.00166599976678,0.00276368772913
LPF,12,35,0.001,5.72099655194e-06,5.72080675242e-06,0.000920561142266,8.08971009703e-06,1,0,0,0.00171030743796,0.00291273032386
LPF,12,36,0.001,5.8739099615e-06,5.8737122522e-06,0.000920569815207,8.30594060767e-06,1,0,0,0.00175589177725,0.00307010717321
LPF,12,37,0.001,6.03132752126e-06,6.03112174561e-06,0.000920578429941,8.52854017737e-06,1,0,0,0.00180281107022,0.00323637338938
