resonance,slope,frequency_ratio,input_amplitude,gain_db,theory_db,error_db,output_peak,stage1_limit_hits,stage2_limit_hits
31,12,0.75,0.001,1.277918611,1.277998149,-0.000079538,0.000897610,0,0
31,12,0.75,1.000,1.277918616,1.277998149,-0.000079533,0.897609890,0,0
31,12,1.00,0.001,0.068654138,0.068722543,-0.000068405,0.000920355,0,0
31,12,1.00,1.000,0.068654134,0.068722543,-0.000068409,0.919033945,0,0
31,24,0.75,0.001,1.271732151,1.271895173,-0.000163022,0.000895443,0,0
31,24,0.75,1.000,1.271732160,1.271895173,-0.000163013,0.895443201,0,0
31,24,1.00,0.001,-1.515009005,-1.514902378,-0.000106627,0.000919003,0,0
31,24,1.00,1.000,-1.515009011,-1.514902378,-0.000106633,0.917848229,0,0
44,12,0.75,0.001,2.590566365,2.590640489,-0.000074124,0.000897805,0,0
44,12,0.75,1.000,2.590566366,2.590640489,-0.000074123,0.897805214,0,0
44,12,1.00,0.001,1.946344140,1.946408694,-0.000064554,0.000920447,0,0
44,12,1.00,1.000,1.946344139,1.946408694,-0.000064556,0.919114709,0,0
44,24,0.75,0.001,2.584388862,2.584537513,-0.000148651,0.000895469,0,0
44,24,0.75,1.000,2.584388865,2.584537513,-0.000148648,0.895469189,0,0
44,24,1.00,0.001,0.362688423,0.362783773,-0.000095350,0.000919010,0,0
44,24,1.00,1.000,0.362688419,0.362783773,-0.000095354,0.917854369,0,0
64,12,0.75,0.001,4.404465770,4.404532956,-0.000067185,0.000898097,0,0
64,12,0.75,1.000,4.404465772,4.404532956,-0.000067184,0.898096681,0,0
64,12,1.00,0.001,5.163768500,5.163828119,-0.000059620,0.000920581,0,0
64,12,1.00,1.000,5.163768502,5.163828119,-0.000059617,0.919231474,0,0
64,24,0.75,0.001,4.398299760,4.398429980,-0.000130220,0.000895507,0,0
64,24,0.75,1.000,4.398299767,4.398429980,-0.000130213,0.895506620,0,0
64,24,1.00,0.001,3.580122317,3.580203198,-0.000080881,0.000919019,0,0
64,24,1.00,1.000,3.580122316,3.580203198,-0.000080882,0.917863011,0,0
100,12,0.75,0.001,6.743386424,6.743443460,-0.000057035,0.000898631,0,0
100,12,0.75,1.000,6.743386429,6.743443460,-0.000057031,0.898630440,0,0
100,12,1.00,0.001,14.434356570,14.434408966,-0.000052396,0.000920814,0,0
100,12,1.00,1.000,14.434356568,14.434408966,-0.000052398,0.919434607,0,0
100,24,0.75,0.001,6.737237233,6.737340484,-0.000103251,0.000895571,0,0
100,24,0.75,1.000,6.737237239,6.737340484,-0.000103244,0.895571411,0,0
100,24,1.00,0.001,12.850724337,12.850784045,-0.000059708,0.000919036,0,0
100,24,1.00,1.000,12.850724343,12.850784045,-0.000059701,0.917877316,0,0
110,12,0.75,0.001,7.051002855,7.051057411,-0.000054556,0.000898785,0,0
110,12,0.75,1.000,7.051002858,7.051057411,-0.000054553,0.898784876,0,0
110,12,1.00,0.001,19.875885418,19.875936047,-0.000050629,0.000920879,0,0
110,12,1.00,1.000,18.289761635,19.875936047,-1.586174412,0.919491112,28273,0
110,24,0.75,0.001,7.044857769,7.044954435,-0.000096666,0.000895589,0,0
110,24,0.75,1.000,7.044857770,7.044954435,-0.000096665,0.895589411,0,0
110,24,1.00,0.001,18.292256584,18.292311126,-0.000054542,0.000919040,0,0
110,24,1.00,1.000,16.706134278,18.292311126,-1.586176848,0.917881191,28273,0
118,12,0.75,0.001,7.165991309,7.166043963,-0.000052655,0.000898911,0,0
118,12,0.75,1.000,7.165991314,7.166043963,-0.000052650,0.898911059,0,0
118,12,1.00,0.001,29.470175198,29.470224478,-0.000049280,0.000920931,0,0
118,12,1.00,1.000,18.495628556,29.470224478,-10.974595922,0.919536531,39487,0
118,24,0.75,0.001,7.159849371,7.159940987,-0.000091617,0.000895604,0,0
118,24,0.75,1.000,7.159849374,7.159940987,-0.000091614,0.895603895,0,0
118,24,1.00,0.001,27.886548984,27.886599557,-0.000050572,0.000919044,0,0
118,24,1.00,1.000,16.912008533,27.886599557,-10.974591024,0.917884290,39487,0
120,12,0.75,0.001,7.176692245,7.176744433,-0.000052188,0.000898943,0,0
120,12,0.75,1.000,7.176692250,7.176744433,-0.000052184,0.898943007,0,0
120,12,1.00,0.001,35.382148751,35.382197700,-0.000048949,0.000920944,0,0
120,12,1.00,1.000,18.531570020,35.382197700,-16.850627680,0.919547975,41330,0
120,24,0.75,0.001,7.170551079,7.170641457,-0.000090378,0.000895608,0,0
120,24,0.75,1.000,7.170551085,7.170641457,-0.000090372,0.895607471,0,0
120,24,1.00,0.001,33.798523174,33.798572779,-0.000049605,0.000919044,0,0
120,24,1.00,1.000,16.947951520,33.798572779,-16.850621259,0.917885065,41330,0
