case,velocity,centroid_20_16000_hz,sub_to_above_sub_db,above_200_to_below_200_db,rms_dbfs,midi_sha256,raw_render_sha256
cotton-wool,1,27.64018544983567,14.14227843284607,-23.827049732208252,-29.833908566398645,73516b50ee6a683985f29f11e60968b024904b5c4eef334603763cba77a7e764,880a9cf753df9e24a2b0c7563b08fbbd528d6b61a1c4175cbb5d697f6c7c3395
cotton-wool,2,27.743232577342884,14.046449661254883,-23.661503791809082,-29.828544149169417,aaaafd6140178611e7f3e3ece4466c693e9fec465f5db7b6b90fbf93839f88f1,f35b64a889857e1616f40ba17af079791cd06a545d9168c1f5f6965c5432b229
cotton-wool,3,27.849702954027514,13.950133323669434,-23.49588632583618,-29.8231923257893,c589ae3b5814a408f26519b4e0b66c1091364ba15710a92036f981645874b080,02d8c2b044eaa30611e392f42a13cdcef082d96338b204778b0a6a8052b4878d
cotton-wool,4,27.959658654645725,13.853389024734497,-23.330214023590088,-29.81785092072498,ead20372250ac93de60939c2877a30a134006e9a0d081565c23dee0572d8baee,d169c84a87591a3e5d356db9b438c98cae2e705f4f22df45d2ae2079546b3f97
cotton-wool,5,28.07314413817574,13.756273984909058,-23.164503574371338,-29.81251788728958,2a2df243d92dd469357c9b67cd2691b8b972b272931c24887e4e89dfd0e2f3d8,24f30a22fefd60db1eded6f8c042e1ed683812b25c279a1b32ac3fe3454f69b2
cotton-wool,6,28.190205050236035,13.65884780883789,-22.99877643585205,-29.807191360567987,1f2e9454d3b67d7573ef5d4ffe2ca11852fe84a7d7ee4a3e58030c44715838ba,a9a3f31f7d8f720827b350d1620c30613bf065fe4ea02fd39b85152c15362849
cotton-wool,7,28.310884235487304,13.561173677444458,-22.833058834075928,-29.801869605376538,77f6e10eb1e06b1a7109de2a7abe8f2fe38c551fb8657107008c61afccc5264e,39f50b889f66938a28c2341f67c3f09c61d25551613f394e1a17db6cf32d7854
cotton-wool,8,28.43521822043933,13.46331000328064,-22.667391300201416,-29.79655107122253,132e695adfed8f62e254e47dd2441f05869f61d7c7d5317134d7f97617353e20,1f1a4583780ab4fefc0a49c37628cd764c644ea95cb2ea984a5224e1f4a2876d
cotton-wool,9,28.563227280123236,13.365322351455688,-22.50180721282959,-29.791234353244928,6f0224de0cd782906557bece0fa1b7c27ff31f08cd44716613658ad5d752184d,7865af87f7988cd8b7779e1312a612ce008d7c91790474571e33baa537ab5c50
cotton-wool,10,28.694926736199307,13.267272710800171,-22.33635425567627,-29.78591822080659,9ad0612245093535b229a2322c27e3bdb061bcfbeb9e24d3a45f92f0d199ae60,a655164b03941e4856fee46ef010d6ae97cd1122a89a6e3ee72833293b11fd7a
cotton-wool,11,28.83033561917241,13.169227838516235,-22.171084880828857,-29.780601636102663,042eff33774c6b5878dfb6bea1a1eb8ba6147ca33486044eae90b9cbff16ae02,86de66205888d74844d4f0c8c070d83dcaf9416ee6146620d57495497a61026f
cotton-wool,12,28.969445868272487,13.071248531341553,-22.006049156188965,-29.77528372996488,4adb44c20749f9c24182837b803e027703b83124510be2d3fac335a37c763694,6cacc04011b9cfc1ac3779173de072da700e0831bd4202624bb73fbb4f5f43d7
cotton-wool,13,29.1122590726841,12.973402738571167,-21.84131622314453,-29.769963809113985,9dbbd21f62e00584d9b05db285dffa485d50fbfeac512e94c579b168fc7473cf,b36bd4798c55ee5006d4b56c6b468f1cdda0bdbb47425c9d1af114548872c9ab
cotton-wool,14,29.258761220951016,12.875754833221436,-21.67694330215454,-29.764641363631217,e9ff11ce9569b51e69f8db9a6714e2244f4706a27dd4d7eb9cf7c67f62bf8189,be53c18b0af8d0c6b296d07ad10649d162987bc5aac675f831df5add06720a49
cotton-wool,15,29.408921520618513,12.77836561203003,-21.512999534606934,-29.75931606796431,e2f8c60f39bc07a72b9a1ba6f15986c628b1952da79538408a83745739251816,3a94c603eac70fb685c37a33ca5a84d7d2c762c20fa92bbec31c6b3f1c16a34a
cotton-wool,16,29.562709127377524,12.681301832199097,-21.34956121444702,-29.753987783007844,e45a9e336cdbb5d539a214c913eee48ce5c2fa064a83a32bf63559208b2436eb,c235d5f799ee41e73d91c9525cb657a6f22d0d2e216608bb92522f1675b99ecd
cotton-wool,17,29.720093461612763,12.584625482559204,-21.186697483062744,-29.748656522722612,276cb210cd305ec75dca0bdeff48a18dc5e72e5b62d4ae825fca5b3c6d9b514d,bee2fd419cf4ea61b6a32ff744ed4385b197e444cd8e897060fa572d1e2efbe1
cotton-wool,18,29.881018960643598,12.488398551940918,-21.024484634399414,-29.74332249516555,fdd5af415e6cfd736deb5ce8b646f19e87b56619d6652052d4c5ccce52528549,0e9c4044034bee48e3982b9a36f2fc04556e488b9624eacfbe8ae5fbae9cff8c
cotton-wool,19,30.045427262680754,12.392680644989014,-20.863006114959717,-29.737986059023562,ed783510d4df582cebc55e3e9a4553bb6fd7d695db95b0a5ddc08ae941f34220,a187f36ec4275f7a4fffd4c58300fe5b794b078660f36c90b801dad75dc20165
cotton-wool,20,30.213264448489916,12.297530174255371,-20.702331066131592,-29.732647744281593,94c52a24aa5ebaf9161f3d550b3f33d0f4c69f1af33b746c591d667edd1360c5,995fa3dcf54bcce40abb9212ff0b2482c1dcf11ed785c32ce0b7efd32da106c5
cotton-wool,21,30.384450218197596,12.203006744384766,-20.542545318603516,-29.727308218256066,954897545dda5095e9e2e3c96bdad8f26f8c54458c2f17e121e8bd619401f2cb,fcfce22d9a82a0dbcd89f1d115371e993d5eaa87b35acc54e92971d7a7ceb556
cotton-wool,22,30.558915266735706,12.1091628074646,-20.38372039794922,-29.721968284686312,9e30b91aa352d1944f11d02d9b7552b8d67679cb4681bb1423a4233394e90319,015c540582cc592ffc4414037d01c8c2367a99dcf46499e8a77d739dc6d4d39e
cotton-wool,23,30.736571307894224,12.01604962348938,-20.225934982299805,-29.716628890301877,64fc7118f5a97857591c7274de449b907e0e22644fc3238cef1b35cac67f9ff0,9e3d38d6da1aca302a36db1204ed0f89a9fed0ca14c6f56307ad1bfc98a04ba4
cotton-wool,24,30.91733636952986,11.923718452453613,-20.069260597229004,-29.71129107564162,2363731aec51772883bd4c042ff057232c439c490628fb1ef8090fce8e5e1bbe,e67b0a92cf1b7c3814e4e5e671ef69ea71a4325ed4fc799640ff103bedd5526b
cotton-wool,25,31.10111915877466,11.83221697807312,-19.913771152496338,-29.70595600250404,49d570fb04f91d69c9c157081a2f5b7a6a0778791d0c487fe09daa5bceb5f917,f0edf73079293521428d1044f25b8572d4ec92a3b248fba0035fc6cb759a2cfa
cotton-wool,26,31.28781781094439,11.741588115692139,-19.759533405303955,-29.700624901755432,c29161969cdd4e6ade6cadf79622c4fa00f2a02536e67429395245e3cfeb3351,6db6c2a4da326ffa6fabd0dedc240a1878de891a847aa3127004399d87ce07ef
cotton-wool,27,31.477348284665748,11.651873588562012,-19.606605768203735,-29.695299077379502,6cb08aeaf8cf12addbb5b4237ab3cfd6230156532b209ca88f8e3343d2655584,ccb51a2021c035fa1bb1a7910a8579d9f862b59317b93860a64be9790d6736a2
cotton-wool,28,31.669593364356494,11.563107967376709,-19.455052614212036,-29.689979907310047,32863b2e65711a8142ba80afcf4182aca7affd5114214e0a7932ffb951923245,7e3f824f0e0adaca157a5fa80e80453402a790abc1c6de432f55a5f303fca13b
cotton-wool,29,31.864475903481264,11.475328207015991,-19.30492401123047,-29.6846687842384,1e2337ea5348cb7462b06465682b4e4421e7da14ffb8b88af82402c20950ea26,0fbf6578325247160e942ab7d46330b88547069f8edd20806951fc5f193ad71e
cotton-wool,30,32.0618884610924,11.388565301895142,-19.156267642974854,-29.679367148702514,7865b01e62a91676acc2b034f3e77b7ad8ec339bb25545ef4e09cb05f4c98061,3ef31a4bac8bef5285f2251db79bb65c1130a57e145a090d0c29221bdd9f6226
cotton-wool,31,32.26173068455769,11.30284309387207,-19.009125232696533,-29.674076424866666,70695b2881f475124cac42db1e5c965e2d752eeefad53377931385219c538385,72f1b7682065746fd0ea2ddc81a15ef3fe56570dcd5f28cac30de72fe48fb30e
cotton-wool,32,32.46392358470563,11.218187808990479,-18.863532543182373,-29.66879805160866,25acf4c9095ee50aa068366dd9c19b53c39459dfa20c25e74f0227a42daa688a,386f8f0285f5f4ee556a569cb41604c5b86a31ef7a2485feb31c8d243c6fd8ba
cotton-wool,33,32.66836255052894,11.134618520736694,-18.71951937675476,-29.663533437450926,9d2afabe83c340c83c1ea4d3ba56cfa99c72d62126d98f980e18ca98311f8098,7bd70babf6ae0ef0b08474b4f364a97a8b667f1ac39c06302705f96ec662f2b1
cotton-wool,34,32.874962393717105,11.052149534225464,-18.577109575271606,-29.658283949201767,442b3d8cba136653680e304509fe1e3fca511d10b35bd617633aea0f54c3d21e,ca2462fe92de8f57b3773d557a60cf65c446cbde18a3b43b25af91a172b83140
cotton-wool,35,33.08365216904642,10.970795154571533,-18.436317443847656,-29.653050906521074,3e888cd0aab400add5654a20876a80430ad91ed3fb14d35b8af08ef9d384403b,74a8f06fb12037c7b88a8f67c57b1de35bceaca52eb300740a0f464ee628e740
cotton-wool,36,33.29435563375286,10.890564918518066,-18.297154903411865,-29.647835558483795,f0469ca2ef617ee5fe85096650f511e3f01a17d8d990d97b307a61496df6fd1d,db304fcb8e02933c155626bd9f3a3d9ffe06538151a88e6e4c0d8f3c11487f9d
cotton-wool,37,33.507006365203225,10.81146240234375,-18.15962314605713,-29.642639095584073,001a1eae256f8d14a13954c723fd8473ad25a1f2cfd67d2a4366997cc83fa158,0aa6c8fbe246a31eed4b7fd34a3d48ac90bd76256a4a818fa5dc067cb631babb
cotton-wool,38,33.7215407522639,10.73349118232727,-18.023722171783447,-29.637462606664585,2566c07cadb7c2c91c86450b2e3d046f5cac94fbb69d25c4ec3e572ff9eef547,ebc0d7dd551207d76f6b07a23284c6963d970fdebf84ba5aa69f2927aff7218e
cotton-wool,39,33.93790517499519,10.656651258468628,-17.88944363594055,-29.632307093757944,8d17851eec6f98fd2912426b5a3815ae7fccd47c5b40c4293623ed17bbe82d15,edc3abcc58cd4390034846d45c70ac032908af972396ae9a57ea34d701bfb1fc
cotton-wool,40,34.15606518256096,10.580936670303345,-17.756770849227905,-29.62717344544307,1fab36f29cd3b51cff464d47915e901e0d6498f8a83d0f3eae7844766dca6701,a1b443483a63f78e96ab8024676be33426de1037208db72a50d93c34cd4afb22
cotton-wool,41,34.37598421857858,10.506340265274048,-17.625685930252075,-29.622062454587503,016e9a8d5eecb70ff92452559ee0ef3dfdcbc30ab7ef45d53c56ffa2767af091,83818d388724d9bd07b0518d6dde160a869a1b033637990631255a132c30f6a2
cotton-wool,42,34.59763872453842,10.432853698730469,-17.496166229248047,-29.616974791236306,5a9a5a198aef2c901e8b343edc85a1efa34fc19c822bb48ecac23411a5f774e1,7d9114cd8241e905b64b893bb55e22571e2364e1063aa15e8755d538903de9e3
cotton-wool,43,34.82100488881626,10.360466241836548,-17.368184328079224,-29.61191100901398,bce94df6f47e82f748b125482d99849035e07d81da73cc938b342e0719cd6779,32d7ee9b13cd644457bab6616613f369fadf1d75576e8e635c9bab50f7228abd
cotton-wool,44,35.04608309545951,10.289160013198853,-17.24170446395874,-29.606871540248292,b2d0dfb059ba2169a94b7c6ea0cf91c1c95ce1124f1692ac72e141a58f74effd,ea49ae630f72b07342fd7b20bfb3202a220ac008fd74fd42c90e0445b421cf6b
cotton-wool,45,35.272876874573946,10.218920707702637,-17.116695642471313,-29.601856706490054,04323752396a93614f8b32cf403ed0126ff0fbf0cb88268826e236279150df0f,666ea0cfe71c8023b53f5dae35c21693534d14098860fb3155aeda2bdbdbff8c
cotton-wool,46,35.501390076426325,10.149729251861572,-16.99311852455139,-29.596866693378598,09323aae05c3f5fe489a423a8a798d81cf1e3ffaa233e91fe360166f88afe5e4,d1dc1f574109853ea67e08560333c70dd1a006ff119c694ebd1669faf400e6b3
cotton-wool,47,35.73164959144755,10.081565380096436,-16.870933771133423,-29.59190158078192,a96363e9d399da180897c20af20ad2fb361f5a913ff04fe9c863bd0e6d58fe3c,f46740652f3122c6daa4286dea0f6045b6d55a2f7b7d57d78904ef6cd4642365
cotton-wool,48,35.96368381681941,10.014407634735107,-16.75009846687317,-29.586961336372546,9be6c70c223a0248faa0ea350d29ac953d551f65d2cd1ac45350fea871e7e95e,f24cc7a78e503157ddc7b11046e3c286f1ca3182da383ddad235e97be805572e
cotton-wool,49,36.197523787405224,9.948232769966125,-16.630573272705078,-29.582045816241912,ebaf25760b97294ad7e05ea71b4cfd3a3cf5eda717a045a9005bfd2db5e733a4,d5e5612deba3a2deda812c68b92659d37dee5996f0d2cf344f6c3cecfd86fa7b
cotton-wool,50,36.433202892646996,9.88301694393158,-16.512314081192017,-29.577154779625474,7688011e6b528a492deebdfef65725117eaaf2ed2e3d6dbb2aa63b9f9877a16a,78aabe6d4a7c03edb2edb09ffa1be51645d6f7b0bc07aa42935714630780f25e
cotton-wool,51,36.67079546323678,9.818733930587769,-16.39527678489685,-29.57228790008708,3c140c31bc1b3f4d4a6b8b7460cbbd5103e3ec05b9a2ce3d6a20762b396cc4d6,e65a3d4755221fbbbec7b1fdc33c39232fdfd3b5407befa5016bb8e39e303499
cotton-wool,52,36.910331768040784,9.755361676216125,-16.27942442893982,-29.567444740413748,3c932944864afbdd3d8c3b65aa453f444f1431111362ee4da63f2a875cffb8a9,3d47cff6c316be550b0753ed2f1e97d96357f5db47a7ad2a68feab1aeaeb27a3
cotton-wool,53,37.151876987840375,9.692871570587158,-16.16471290588379,-29.562624821477094,d013ab22f911137b04a4eeac3575ac928591b3570ae207381805fd0f9ddb522b,ddd82f9e6c8760a67570e20c3fb7f356c8358fdc00159c060dcb55c1d91a8dbe
cotton-wool,54,37.39549742130205,9.631238579750061,-16.051105260849,-29.55782757842408,7d9c79b6e1ab4a97f11f46e98af83e3a84fcdf1d0014abc302037964e6b021be,5a86558a6ed8fc3daa4ed8c744e3d2b5b4c3f3b6c802333605951deb58386269
cotton-wool,55,37.64126286571368,9.570437669754028,-15.938565731048584,-29.553052399848752,5c1a46547b64264cfea5fb007c647c57b71f29258636dbebf405a5e9e9cb9e0e,4177960fbfa565376d73035b99ace73d10099ee3b1eba054158488bf92b28738
cotton-wool,56,37.88922399365956,9.510443210601807,-15.827057361602783,-29.548298638745244,747079868ac3dcc73467e1946244c4a2ca5a3154a0858735e07b53b616681223,22e3a04513c07971a259a5935b3f77a65c80be5e9bf98607f20daca53f87157d
cotton-wool,57,38.139448091386804,9.451229572296143,-15.716552734375,-29.54356561028325,a80de78e98c3f0ba66409049da023aa1f9926ae0ddedf40ec86dba7a4e65fafc,afc5c6b517188b20a62ebff270a65fc4255aa3ffdace6ce21eee7cbc04a3069e
cotton-wool,58,38.39200860690238,9.392772912979126,-15.607024431228638,-29.538852617028596,598afe7584e31cbd41989f21a8fa8d267732e58703f992dffb55cf62a634112f,aac4aafa4d81c8023a2e25f41723212f608dc40a10da2376a5622ac32bd8d44a
cotton-wool,59,38.6469623981548,9.335049986839294,-15.498446226119995,-29.534158963156308,a297dc3aee97bd2cdfd267c81733eb0595d9eeea779dcab615a67437ac144cce,8f919ca688f177ec89d73536971f3b3aebfbddb60a626166ed23e4c74434e227
cotton-wool,60,38.90436797819214,9.27803635597229,-15.390799045562744,-29.529483945469373,e19754184dc0c3354d338a576ba48d4768f84ed87c6f25ed801415ace0952124,629f2153be8a0c16fd1b90679cf35315e6f1b8bb0c78d8aaacc27778ac13cfc3
cotton-wool,61,39.164287184831174,9.221711158752441,-15.284065008163452,-29.524826902101022,99eb6a21d7c51a9de171d4d44b90c87b6799f1e61c5d29b9198375bd37c41bb4,29af37eeea9816eb4cd39b103fb6626ec445fdbc3f33f31152f2c59a0eb69b85
